section,category,id,name_ar,name_en,price_egp,description_ar,description_en,notes_ar,notes_en
restaurant,starters,1,بطاطس حارة,Spicy Potato,110,مكعبات بطاطس متبلة بالبهارات والكزبرة,Potato cubes mixed with spices and coriander,,
restaurant,starters,2,أجنحة دجاج - 8 قطع,Chicken Wings (8 pcs),190,8 قطع أجنحة دجاج مقرمشة,8 pieces crispy chicken wings,,
restaurant,starters,3,بروشيتا - 2 قطعة,Bruschetta (2 pcs),90,خبز محمص مع الطماطم والثوم والأوريجانو,Bread topped with tomatoes garlic and oregano,,
restaurant,starters,4,بطاطس مقلية,Chips,80,,Crispy fried potato chips,,
restaurant,sandwiches,5,ساندوتش شيش طاووق,Shish Tawook Sandwich,260,صدر دجاج مشوي متبل مع خس صوص الثوم ومخلل,Grilled marinated chicken breast lettuce cheese garlic sauce and pickles,,
restaurant,sandwiches,6,ساندوتش شاورما دجاج,Chicken Shawarma Sandwich,260,شاورما دجاج متبلة مع خس طماطم مخلل وصوص الثوم,Marinated chicken with lettuce tomato pickles and garlic sauce,,
restaurant,sandwiches,7,ساندوتش كفتة,Kofta Sandwich,260,كفتة مشوية مع طماطم بصل مخلل وصوص السمسم,Grilled minced kofta tomato onion pickles and sesame sauce,,
restaurant,sandwiches,8,ساندوتش فاهيتا,Fajita Sandwich,260,شرائح دجاج مشوية مع فلفل ألوان بصل مخلل مايونيز وجبنة,Grilled sliced chicken pepper onion pickles mayo sauce and cheese,,
restaurant,sandwiches,9,ساندوتش دجاج كريسبي,Chicken Crispy Sandwich,260,دجاج كريسبي مقرمش مع خس طماطم ومايونيز,Fried crispy chicken lettuce tomato and mayo sauce,,
restaurant,sandwiches,10,ساندوتش مكسيكان,Mexican Sandwich,260,صدر دجاج مع فلفل ألوان وبصل,Chicken breast with coloured pepper and onion,,
restaurant,sandwiches,10x,ساندوتش كريستال,Crystal Sandwich,260,صدر دجاج بطاطس مقلية خس مخلل وصوص الثوم,Chicken breast french fries lettuce pickles and garlic sauce,سبيشال,special
restaurant,main_course,12,صدر دجاج مشوي,Grilled Chicken Breast,330,يُقدم مع خضار مشوية,With grilled vegetables,جميع الأطباق مع سلطة وأرز أو بطاطس,All platters served with salad and choice of chips or rice
restaurant,main_course,13,صدر دجاج بصوص المشروم,Chicken Breast with Mushroom Sauce,330,صدر دجاج بصوص المشروم,With mushroom sauce,,
restaurant,main_course,14,دجاجة مشوية كاملة,Grilled Whole Chicken,420,,Full grilled whole chicken,,
restaurant,main_course,15,نصف دجاجة مشوية,Grilled Half Chicken,280,,Grilled half chicken,,
restaurant,main_course,16,إسكالوب بانيه مع بطاطس مقلية,Escalope Panne & Chips,340,,Escalope panne served with chips,,
restaurant,main_course,17,دجاج كريسبي مع بطاطس مقلية,Chicken Crispy & Chips,290,,Crispy chicken with chips,,
restaurant,main_course,18,ناجتس دجاج مع بطاطس مقلية,Chicken Nuggets & Chips,190,8 قطع,8 pieces,,
restaurant,main_course,19,تشيز برجر مع بطاطس مقلية,Cheese Burger & Chips,250,,Cheese burger served with chips,,
restaurant,main_course,20,بيف برجر مع بطاطس مقلية,Beef Burger & Chips,230,,Beef burger served with chips,,
restaurant,main_course,21,تشيكن برجر مع بطاطس مقلية,Chicken Burger & Chips,230,,Chicken burger served with chips,,
restaurant,main_course,22,طبق شيش طاووق,Shish Tawook Platter,320,,Shish tawook platter,,
restaurant,main_course,23,شيش طاووق بيري بيري,Peri-Peri Shish Tawook,330,,Peri-peri shish tawook platter,,
restaurant,main_course,24,طبق كفتة,Kofta Platter,320,,Kofta platter,,
restaurant,main_course,25,طبق شاورما دجاج,Chicken Shawarma Platter,320,,Chicken shawarma platter,,
restaurant,main_course,26,طبق مشويات مشكلة,Mixed Grill Platter,350,,Mixed grill platter,,
restaurant,salads,27,سلطة سيزر,Caesar Salad,190,دجاج مشوي خس طماطم خبز مقرمش جبن بارميزان وصوص السيزر,Grilled chicken lettuce tomato crispy bread parmesan and Caesar sauce,,
restaurant,salads,28,سلطة يونانية,Greek Salad,180,جبنة فيتا خس طماطم فلفل ألوان خيار بصل وزيتون,Feta cheese lettuce tomato paprika cucumber onion and olive,,
restaurant,salads,29,سلطة تونة,Tuna Salad,200,تونة خس جزر طماطم ذرة حلوة زيتون بصل مع صوص الليمون والخل,Tuna lettuce carrot tomato sweet corn olive onion with vinegar and lemon sauce,,
restaurant,salads,30,سلطة كريستال,Crystal Salad,200,صدر دجاج مشوي خس طماطم جرجير جبنة بيضاء زيتون خيار وصوص كريستال الخاص,Grilled chicken breast lettuce tomato rocca white cheese olive cucumber and crystal special sauce,,
restaurant,salads,31,سلطة دايت,Fit Salad,200,خس آيسبيرج جرجير طماطم جبنة بيضاء خيار بقدونس بيض مسلوق وزيت زيتون,Iceberg lettuce rocca tomatoes white cheese cucumber parsley boiled egg and olive oil,,
restaurant,salads,32,تبولة,Tabbouleh,150,بقدونس نعناع طماطم بصل عصير ليمون وزيت زيتون,Parsley mint tomato onion lemon juice and olive oil,,
restaurant,salads,33,فتوش,Fattoush,150,خيار طماطم خس نعناع عصير ليمون زيت زيتون سماق وخبز مقرمش,Cucumber tomato lettuce mint lemon juice olive oil sumac and crispy bread,,
restaurant,salads,34,سلطة البحر المتوسط,Mediterranean Salad,120,خيار طماطم خس عصير ليمون وزيت زيتون,Cucumber tomato lettuce lemon juice and olive oil,,
restaurant,breakfast,35,بيض مخفوق,Scrambled Eggs,140,بيض مخفوق مع خس طماطم خيار و2 توست,Scrambled eggs lettuce tomatoes and cucumber with 2 toasts,يُقدم حتى 12 ظهراً,Served till 12 PM
restaurant,breakfast,36,بيض مقلي بالجبن,Fried Eggs with Cheese,140,بيض مقلي مع جبنة خس طماطم و2 توست مقرمش,Fried eggs cheese lettuce and tomatoes with two crunchy toasts,يُقدم حتى 12 ظهراً,Served till 12 PM
restaurant,breakfast,37,أومليت,Omelette,140,بيض أومليت مع خيار طماطم و2 توست,Eggs omelette cucumber and tomatoes with two toasts,يُقدم حتى 12 ظهراً,Served till 12 PM
restaurant,breakfast,38,أومليت بالخضار,Omelette with Vegetables,140,بيض أومليت بالخضار مع خيار طماطم زبدة و2 توست,Eggs vegetables omelette cucumber tomatoes and butter with two toasts,يُقدم حتى 12 ظهراً,Served till 12 PM
restaurant,seafood,39,كاليماري,Calamari,360,كاليماري (مقلي أو مشوي),Calamari - fried or grilled,,
restaurant,seafood,40,جمبري,Shrimps,420,جمبري (مقلي أو مشوي),Shrimps - fried or grilled,,
restaurant,seafood,41,جمبري مع كاليماري,Shrimps with Calamari,490,جمبري مع كاليماري (مقلي أو مشوي),Shrimps with calamari - fried or grilled,,
restaurant,seafood,42,سمك مع بطاطس مقلية,Fish & Chips,320,,Fish with chips,,
restaurant,pizza,43,بيتزا سلامي,Salami Pizza,280,سلامي بقري جبنة موزاريلا وصوص الطماطم,Beef salami mozzarella and tomato sauce,,
restaurant,pizza,44,بيتزا مارجريتا,Margherita Pizza,240,جبنة موزاريلا صوص الطماطم ومزينة بالريحان,Mozzarella tomato sauce and garnish with basil,,
restaurant,pizza,45,بيتزا أربع أنواع جبن,Four Cheese Pizza,280,موزاريلا جورجونزولا سكامورزا وشيدر مشكل,Mozzarella gorgonzola scamorza and mixed cheddar,,
restaurant,pizza,46,بيتزا دجاج,Chicken Pizza,310,دجاج صوص الطماطم وجبنة موزاريلا,Chicken tomato sauce and mozzarella,,
restaurant,pizza,47,بيتزا تونة,Tuna Pizza,290,جبنة موزاريلا بصل أحمر تونة وزيتون أسود,Mozzarella red onion tuna and black olives,,
restaurant,pizza,48,بيتزا خضار,Vegetariana Pizza,260,صوص الطماطم جبنة موزاريلا وخضار مشوية,Tomato sauce mozzarella and grilled vegetables,,
restaurant,pizza,49,بيتزا فروتي دي ماري,Frutti Di Mare Pizza,360,مأكولات بحرية مشكلة أوريجانو جبنة موزاريلا وصوص الطماطم,Mixed seafood oregano mozzarella and tomato sauce,,
restaurant,pizza,50,بيتزا جمبري,Shrimps Pizza,330,جمبري أوريجانو جبنة موزاريلا وصوص الطماطم,Shrimps oregano mozzarella and tomato sauce,,
restaurant,pasta,51,باستا دجاج,Chicken Pasta,190,دجاج ومشروم مع صوص الطماطم,Chicken and mushroom with tomato sauce,,
restaurant,pasta,52,باستا بولونيز,Bolognese Pasta,190,لحم مفروم صوص الطماطم جبنة وريحان,Minced meat tomato sauce cheese and basil,,
restaurant,pasta,53,باستا أرابياتا,Arrabiata Pasta,160,اسباجيتي أو بيني مع صوص الطماطم الحار,Spaghetti or penne with spicy tomato sauce,,
